3.127,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
3.143,99,0,-4,0,0,1,0,3,-1,0,0,0,0,0,0,0,7,
3.160,100,0,4,0,0,0,0,4,-1,0,0,0,0,0,0,0,6,
3.177,101,0,-4,0,0,0,0,4,0,0,0,0,0,0,0,0,6,
3.193,102,0,0,0,0,0,0,2,-1,0,0,0,0,0,0,0,7,
3.210,103,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,6,
3.227,104,0,0,1,0,0,0,1,-3,0,0,0,0,0,0,0,7,
3.243,105,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,6,
3.260,106,0,0,-1,0,0,0,2,0,0,-1,0,0,0,0,0,6,
3.277,107,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,7,
3.293,108,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,6,
3.310,109,-1,-2,0,-1,0,0,3,0,0,0,0,0,0,0,0,7,
3.327,110,0,0,0,0,0,0,8,-1,0,0,0,0,0,0,0,6,
3.343,111,0,4,0,-1,0,0,7,0,0,0,0,0,0,0,0,6,
3.360,112,0,3,0,0,0,0,2,-1,0,0,0,0,0,0,0,7,
3.377,113,0,1,0,-1,0,0,9,0,0,0,0,0,0,0,0,6,
3.393,114,0,-1,0,0,0,0,2,0,0,0,0,0,0,0,0,6,
3.410,115,0,2,0,0,0,0,11,0,0,0,0,0,0,0,0,7,
3.427,116,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,6,
3.443,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
3.460,118,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,6,
3.477,119,0,-1,0,0,0,0,3,0,0,0,0,0,0,0,0,6,
3.493,120,-1,-1,0,0,0,0,3,0,0,0,0,0,0,0,0,7,
3.510,121,0,-1,0,0,0,0,2,0,0,0,0,0,0,0,0,6,
3.527,122,0,-2,0,0,0,0,-1,0,-4,0,0,0,0,0,0,7,
3.543,123,0,5,0,3,0,0,1,0,-9,0,0,0,0,0,0,6,
3.560,124,0,-1,0,6,0,0,4,0,-3,0,0,0,0,0,0,6,
3.577,125,0,1,0,9,0,0,2,0,0,0,0,0,0,0,0,7,
3.593,126,0,1,0,9,0,0,0,0,-4,0,0,0,0,0,0,6,
3.610,127,0,0,0,11,0,0,0,0,-6,0,0,0,0,0,0,6,
3.627,128,0,1,0,13,0,0,0,0,-5,0,0,0,0,0,0,7,
3.643,129,0,1,0,8,0,0,0,0,-4,0,0,0,0,0,0,6,
3.660,130,0,-1,0,11,0,0,3,0,0,0,0,0,0,0,0,7,
3.677,131,0,-3,0,10,1,0,10,0,0,0,0,0,0,0,0,6,
3.693,132,0,-1,0,7,0,0,0,0,0,0,0,0,0,0,0,7,
3.710,133,0,2,0,4,0,0,0,0,-2,0,0,0,0,0,0,6,
3.727,134,0,-1,0,2,0,0,2,0,-1,0,0,0,0,0,0,6,
3.743,135,-1,1,0,5,0,0,2,0,-6,0,0,0,0,0,0,7,
3.760,136,0,0,0,5,0,0,0,0,-9,0,0,0,0,0,0,6,
3.777,137,0,0,0,6,0,0,0,0,-4,0,0,0,0,0,0,6,
3.793,138,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,7,
3.810,139,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,
3.826,140,0,1,0,5,0,0,1,0,-1,0,0,0,0,0,0,7,
3.843,141,0,0,0,4,0,0,0,-1,-1,0,0,0,0,0,0,6,
3.860,142,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,6,
3.876,143,0,2,1,-5,0,0,-2,-1,-1,0,0,0,0,0,0,7,
3.893,144,0,0,1,-7,0,0,0,0,-2,-1,0,0,0,0,0,6,
3.910,145,0,1,0,-10,0,0,1,0,1,0,0,0,0,0,0,7,
3.926,146,0,-2,0,-13,0,0,1,0,6,0,0,0,0,0,0,6,
3.943,147,0,0,0,-20,0,0,-1,0,10,0,0,0,0,0,0,6,
3.960,148,0,0,0,-20,0,0,0,0,8,0,0,0,0,0,0,7,
3.976,149,0,0,0,-16,0,0,0,0,-1,0,0,0,0,0,0,6,
3.993,150,0,1,0,-16,0,0,-1,0,-8,-1,0,0,0,0,0,6,
4.010,151,-1,-1,0,-20,1,0,2,0,0,-1,0,0,0,0,0,7,
4.026,152,0,-3,0,-19,4,0,0,0,-3,-2,0,0,0,0,0,6,
4.043,153,0,-4,0,-12,4,0,-2,0,-3,-2,0,0,0,0,0,7,
4.060,154,0,3,0,-7,6,0,-2,0,2,-3,0,0,0,0,0,6,
4.076,155,0,5,0,-4,6,0,2,-1,-1,-3,0,0,0,0,0,6,
4.093,156,0,4,0,-3,8,0,3,0,-1,-6,0,0,0,0,0,7,
4.110,157,0,6,0,0,10,0,0,0,1,-5,0,0,0,0,0,6,
4.126,158,0,6,0,3,7,0,2,-1,-1,-6,0,0,0,0,0,7,
4.143,159,0,4,0,3,6,0,0,0,-4,-5,0,0,0,0,0,6,
4.160,160,0,3,1,6,6,0,1,0,-4,-5,0,0,0,0,0,6,
4.176,161,0,0,0,5,7,0,-1,-2,-2,-2,0,0,0,0,0,7,
4.193,162,0,1,1,4,4,0,2,-3,0,-1,0,0,0,0,0,6,
4.210,163,0,4,-1,6,3,0,3,-4,0,0,0,0,0,0,0,6,
4.226,164,0,0,0,3,0,0,2,-6,0,1,0,0,0,0,0,7,
4.243,165,-1,0,1,2,0,0,0,-4,-5,3,0,0,0,0,0,6,
4.260,166,0,3,2,5,-2,0,5,-2,-9,1,0,0,0,0,0,7,
4.276,167,-1,-2,1,7,0,0,0,0,-1,1,0,0,0,0,0,6,
4.293,168,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,6,
